sample_ts,RadiusOfTurn,Lat_accel,IMUYawRate,Speed
1584853840233726.0,5.967159007020362,2.312,0.25463867188,5.50137
1584853840433147.0,5.2692926984126975,1.6235,0.29052734375,5.52092
1584853840633376.0,5.053905701487805,2.278,0.30688476562,5.64604
1584853840833771.0,5.265154830523836,2.227,0.29931640625,5.70078
1584853841033165.0,4.430540745844993,2.499,0.35864257812,5.73988
1584853841233397.0,4.060966749379652,3.043,0.3935546875,5.76725
1584853841433735.0,3.6232905503226527,3.1705,0.44409179688,5.81808
1584853841633169.0,3.5589688889279705,3.043,0.45532226562,5.84936
1584853841833414.0,3.5826220790070415,3.111,0.45458984375,5.87673
1584853842033756.0,3.67024767473173,2.958,0.44506835938,5.88455
1584853842233161.0,3.66235955632388,2.924,0.44750976562,5.91583
1584853842433402.0,3.876003473818646,2.703,0.4248046875,5.93929
1584853842633767.0,4.237997379060365,2.3205,0.38916015625,5.93538
1584853842833163.0,4.42107032925041,2.448,0.37329101562,5.94711
1584853843033423.0,4.6409393689986285,2.244,0.35595703125,5.94711
1584853843233771.0,4.757736530324401,2.465,0.34619140625,5.91192
1584853843433187.0,4.481400371173904,2.839,0.36547851562,5.88064
1584853843633429.0,4.123665964859988,3.111,0.39428710938,5.8259
1584853843833793.0,3.637287809663968,3.196,0.4423828125,5.75943
1584853844033194.0,3.354803194159252,3.3405,0.4755859375,5.72815
1584853844233441.0,3.2661140368509214,2.958,0.48583984375,5.69687
1584853844433802.0,3.31722074679378,2.448,0.47802734375,5.72033
1584853844633194.0,3.6142678062678053,2.4905,0.43798828125,5.67732
1584853844833432.0,4.008819900497513,2.465,0.392578125,5.65386
1584853845033785.0,3.983693851668045,2.55,0.3935546875,5.63431
1584853845233195.0,3.772020650908084,3.077,0.41088867188,5.52483
1584853845433444.0,3.6216087867177524,2.516,0.4248046875,5.5522
1584853845633569.0,3.627863724215998,2.3205,0.42407226562,5.52483
1584853845833207.0,3.6509574247144343,2.754,0.41796875,5.46227
1584853846033469.0,3.842567365392519,2.193,0.39599609375,5.49355
1584853846233580.0,4.094337151579645,1.904,0.37084960938,5.43881
1584853846433232.0,4.370278263595048,2.278,0.34619140625,5.45445
1584853846633472.0,4.72866432741151,2.159,0.32006835938,5.44272
1584853846843980.0,4.374670947434686,2.4055,0.3447265625,5.41535
1584853847043357.0,4.021006380404124,2.448,0.37329101562,5.39189
1584853847243773.0,4.021962213461819,2.159,0.37158203125,5.36843
1584853847443996.0,4.028799765255402,2.227,0.36987304688,5.36061
1584853847643374.0,3.9860917085048118,2.3205,0.37329101562,5.35279
1584853847843774.0,3.918627660383108,2.3205,0.38110351562,5.39971
1584853848093315.0,3.959495934210088,2.21,0.37963867188,5.42317
1584853848293533.0,3.900701845952202,2.448,0.38647460938,5.43099
1584853848494017.0,3.935940102686266,2.38,0.38549804688,5.49355
1584853848693861.0,3.721797530818908,2.924,0.41088867188,5.51701
1584853848893560.0,3.446958005690538,2.958,0.44506835938,5.52874
1584853849094020.0,3.2754499942429476,3.1025,0.47119140625,5.58348
1584853849293814.0,3.3301113094554564,2.992,0.46508789062,5.56784
1584853849493553.0,3.2915852158894645,3.009,0.47119140625,5.59912
1584853849694028.0,3.4488927306179424,2.601,0.45190429688,5.62258
1584853849893859.0,3.9065840376076792,2.431,0.39868164062,5.5913
1584853850093561.0,4.14400487067941,2.4905,0.37426757812,5.57566
1584853850294023.0,4.219886291158451,2.159,0.36547851562,5.52874
1584853850493835.0,5.4028274476979465,1.5725,0.28344726562,5.49746
1584853850693571.0,6.481874679711159,1.139,0.23291015625,5.37234
