lat;lon;speed;accel_lon;accel_trans;accel_down;ts
57.71911894;11.956518472;0.3682771;0.1016991;-0.03508816;-0.006370979;1663765168311559
57.719118948;11.956518323;0.3607501;-0.254061;-0.01549258;0.1728987;1663765168361657
57.719118955;11.956518177;0.3556239;0.07675307;-0.04552681;-0.1232308;1663765168411693
57.719118961;11.956518035;0.3522786;-0.1607136;-0.0307332;0.08995416;1663765168461679
57.719118967;11.956517892;0.3529633;0.1977504;-0.01233142;-0.1408778;1663765168511737
57.719118973;11.956517748;0.3527342;-0.0976598;-0.02750955;0.1607391;1663765168561673
57.719118979;11.956517603;0.3534928;0.157294;-0.02226947;-0.05846816;1663765168611758
57.719118986;11.956517457;0.3507248;-0.1832706;-0.02862705;0.1692819;1663765168661684
57.719118992;11.956517312;0.3511491;0.1194279;0.01772197;-0.02098726;1663765168711708
57.719118999;11.956517167;0.3499533;-0.06533508;-0.02896848;-0.007739892;1663765168761697
57.719119005;11.956517022;0.3472075;-0.04171574;0.05408704;0.06234361;1663765168811759
57.719119012;11.956516878;0.3451029;-0.02434589;-0.03097223;-0.1206565;1663765168861671
57.719119018;11.956516736;0.3411655;0.00460761;0.05304308;0.05762663;1663765168911599
57.719119023;11.956516597;0.3271468;-0.6044886;-0.03872756;0.1206812;1663765168961689
57.719119024;11.956516488;0.3016276;-0.5048272;0.02897641;0.1710178;1663765169011740
57.719119019;11.956516429;0.263651;-0.8380172;-0.07998219;0.14254;1663765169061829
57.719119009;11.956516403;0.2263444;-0.7330352;0.04079904;0.1031602;1663765169111757
57.719118993;11.956516408;0.1879558;-0.8388598;-0.01225;0.04354715;1663765169161770
57.71911897;11.956516445;0.1524261;-0.7772837;-0.001352517;-0.06321543;1663765169211657
57.719118942;11.956516512;0.1225705;-0.8449931;-0.04456347;-0.06055117;1663765169261722
57.719118908;11.95651661;0.1010267;-0.6771986;0.01275394;-0.1840681;1663765169311698
57.719118868;11.956516738;0.08772679;-0.8666317;-0.02959069;0.004738734;1663765169361666
57.719118822;11.956516899;0.09647309;-0.8787686;0.006984466;-0.2071203;1663765169411732
57.719118769;11.956517098;0.1301548;-1.190644;0.09308957;0.1762775;1663765169461664
57.719118707;11.956517347;0.1886799;-1.490262;0.01404502;0.1990426;1663765169511606
57.719118634;11.956517658;0.2663342;-1.733645;-0.07352786;0.2150791;1663765169561713
57.719118546;11.956518041;0.3624345;-2.070124;-0.0513205;0.1322992;1663765169611705
57.719118442;11.956518508;0.4725776;-2.389386;-0.03897222;0.339676;1663765169661690
57.71911832;11.956519069;0.6012856;-2.706341;-0.01576467;0.3527517;1663765169711734
57.719118177;11.956519742;0.7529396;-3.172389;-0.03117457;0.3715481;1663765169761720
57.71911801;11.956520544;0.9258041;-3.44691;-0.0621802;0.3953755;1663765169811779
57.719117816;11.956521488;1.110477;-3.503764;-0.06915671;0.1457399;1663765169861698
57.719117593;11.956522579;1.298179;-3.858148;0.03148869;-0.06841823;1663765169911740
57.719117342;11.956523815;1.480349;-3.670573;-0.09106611;-0.1593892;1663765169961697
57.719117062;11.956525205;1.659165;-3.590672;0.03586894;-0.23248;1663765170011741
57.719116754;11.956526767;1.837586;-3.676211;0.0617955;-0.01964214;1663765170061743
57.719116421;11.956528469;2.01321;-3.365036;0.09984975;0.1108041;1663765170111745
57.719116063;11.956530311;2.189991;-3.611183;0.09980834;0.1025363;1663765170161712
57.719115679;11.95653229;2.361492;-3.185494;0.01526909;0.3092174;1663765170211674
57.719115271;11.956534404;2.534182;-3.548016;-0.07969968;0.139588;1663765170261852
57.719114836;11.956536654;2.704648;-3.153121;-0.008818303;0.4127952;1663765170311705
57.719114377;11.956539037;2.874502;-3.431849;0.001735313;0.2995383;1663765170361732
57.719113891;11.956541552;3.04034;-3.316471;0.06698982;0.3426591;1663765170411784
57.71911338;11.956544197;3.206457;-3.110316;-0.1928238;0.454527;1663765170461692
57.719112843;11.956546971;3.371284;-3.362386;-0.186685;0.2181172;1663765170511675
57.719112281;11.956549872;3.533914;-3.226939;-0.04897681;0.1582617;1663765170561696
57.719111695;11.956552901;3.696739;-3.216403;-0.1109197;0.1245536;1663765170611773
57.719111083;11.95655606;3.864386;-3.48059;-0.1615122;0.1101386;1663765170661681
57.719110443;11.956559349;4.033295;-3.340074;-0.1602052;0.1439616;1663765170711586
57.719109776;11.956562771;4.20394;-3.313135;-0.0296128;0.09241378;1663765170761717
57.719109084;11.956566328;4.375523;-3.444335;0.1177636;0.1766802;1663765170811749
57.719108367;11.956570018;4.54503;-3.451015;-0.06318043;0.3235829;1663765170861676
57.719107622;11.95657384;4.711634;-3.196539;-0.08745944;0.3610503;1663765170911765
57.719106853;11.95657779;4.870957;-3.034108;0.0368011;-0.08559497;1663765170961704
57.719106063;11.95658187;5.026315;-3.037109;-0.05997567;-0.1003529;1663765171011764
57.719105251;11.95658609;5.179386;-3.04866;-0.1475231;0.1345706;1663765171061757
57.719104414;11.956590428;5.333987;-3.199352;-0.01493916;0.3366917;1663765171111712
57.719103552;11.956594889;5.494095;-3.370457;-0.05573374;0.2072048;1663765171161708
57.719102664;11.956599478;5.663572;-3.611202;-0.04203851;0.5648614;1663765171211738
57.71910175;11.956604199;5.833809;-3.579926;-0.1291005;0.2230275;1663765171261718
57.719100808;11.956609054;6.005219;-3.400562;-0.004411031;0.2085975;1663765171311661
57.719099838;11.956614041;6.176136;-3.528895;0.2411704;0.1088469;1663765171361728
57.719098845;11.956619163;6.343626;-3.369953;-0.1904766;0.07920975;1663765171411689
57.719097822;11.956624413;6.509924;-3.308168;-0.1507836;0.277996;1663765171461743
57.719096773;11.956629791;6.675852;-3.245428;0.03203052;0.124612;1663765171511725
57.719095697;11.956635301;6.845064;-3.263391;-0.2491047;0.262899;1663765171561801
57.719094589;11.956640943;7.022264;-3.430457;-0.2365825;0.5556495;1663765171611745
57.719093451;11.956646723;7.202626;-3.359637;-0.006125292;0.5191648;1663765171661716
