lat;lon;speed;accel_lon;accel_trans;accel_down;ts
57.718715946;11.958423313;0.1665328;-0.0540935;-0.007423893;0.01232299;1646666919507811
57.71871595;11.958423286;0.1658874;0.0018409;-0.01021889;-0.05250891;1646666919557790
57.718715954;11.958423259;0.1654682;-0.02102811;-0.04530893;-0.01352782;1646666919607795
57.718715958;11.958423232;0.1663332;-0.02302257;-0.007011507;0.006752747;1646666919657793
57.718715962;11.958423204;0.1659479;0.03746285;-0.02903273;-0.06083562;1646666919707800
57.718715966;11.958423175;0.166105;-0.05597528;0.001288643;0.04892472;1646666919757806
57.718715971;11.958423147;0.1648283;0.05674742;-0.02478177;-0.05283468;1646666919807849
57.718715975;11.958423118;0.1650611;-0.04812841;0.04235589;0.07255109;1646666919857797
57.718715979;11.958423089;0.1641821;0.0457584;-0.01931498;-0.08283664;1646666919907808
57.718715984;11.95842306;0.1656855;-0.08979909;-0.01192527;0.0892349;1646666919957820
57.718715988;11.95842303;0.1653074;0.03062097;0.01094533;-0.05629984;1646666920007840
57.718715994;11.958422998;0.1683382;-0.1833285;0.04214121;0.01929337;1646666920057811
57.718716;11.958422963;0.1734726;-0.1251008;0.01250302;0.0215504;1646666920107825
57.718716007;11.95842292;0.1862311;-0.2826126;-0.03013388;0.06637386;1646666920157842
57.718716017;11.958422865;0.2043992;-0.4735439;0.02540594;0.1040477;1646666920207867
57.718716029;11.958422795;0.2280716;-0.4667446;-0.09829616;0.008942819;1646666920257792
57.718716043;11.958422715;0.258274;-0.7302423;0.004964555;0.1590026;1646666920307827
57.718716063;11.95842261;0.2901688;-0.5111595;0.00691424;-0.06151896;1646666920357871
57.718716088;11.958422477;0.3273085;-0.8871214;-0.07317088;-0.007514127;1646666920407834
57.718716119;11.958422313;0.3669212;-0.9569046;0.03174962;0.1371838;1646666920458127
57.718716156;11.958422119;0.4048277;-0.5858433;-0.008180519;-0.3227485;1646666920507849
57.7187162;11.95842189;0.4506853;-1.115968;-0.04705576;0.2229833;1646666920557869
57.718716251;11.958421627;0.4934264;-0.7764845;0.05643754;-0.1597206;1646666920607878
57.718716309;11.958421326;0.5426342;-1.037216;-0.01583377;0.1465689;1646666920657863
57.718716375;11.958420985;0.5979189;-1.284512;-0.05839695;0.06290263;1646666920707841
57.718716451;11.958420597;0.6603077;-1.212852;-0.04094364;-0.0721356;1646666920757886
57.718716537;11.958420158;0.7245569;-1.267829;0.05534286;0.04658917;1646666920807893
57.718716633;11.958419669;0.786347;-1.228605;0.04553812;0.1388318;1646666920857793
57.718716739;11.958419132;0.846049;-1.262975;-0.08911365;0.09534799;1646666920907863
57.718716854;11.958418546;0.9101635;-1.389836;-0.005240814;0.07474429;1646666920957818
57.718716979;11.958417907;0.9797791;-1.462819;-0.06844803;0.1485832;1646666921007882
57.718717116;11.95841721;1.054902;-1.567737;-0.05667006;0.1572167;1646666921057868
57.718717265;11.958416453;1.130534;-1.566737;-0.08868552;0.09362037;1646666921107867
