lat;lon;speed;accel_lon;accel_trans;accel_down;ts
57.718758705;11.958230745;8.310704;-2.69387;-0.2036303;0.390963;1646666851855518
57.718759877;11.958224;8.446261;-2.575133;0.1601223;-0.2022142;1646666851905484
57.718761064;11.958217145;8.58294;-3.112026;0.1944238;0.3827564;1646666851955490
57.718762267;11.958210184;8.708391;-2.318571;-0.1371714;-0.2402175;1646666852005553
57.718763484;11.958203115;8.847364;-2.814992;0.4769353;0.6730261;1646666852055518
57.718764717;11.958195936;8.983388;-2.472295;-0.01351587;0.2714065;1646666852105500
57.718765969;11.958188646;9.127822;-3.109456;0.1362154;0.9986822;1646666852155550
57.718767242;11.958181242;9.266851;-2.722501;-0.2055943;-0.1052112;1646666852205619
57.718768532;11.958173728;9.403136;-2.78985;-0.05896879;-0.1619344;1646666852255569
57.718769839;11.958166103;9.539127;-2.522417;-0.134864;-0.2535489;1646666852305574
57.718771162;11.958158369;9.676521;-2.84231;0.06974403;0.1480519;1646666852355561
57.718772505;11.958150526;9.814703;-2.797276;-0.006471565;0.2915407;1646666852405545
57.718773869;11.958142574;9.955635;-2.779329;0.03096122;-0.3231201;1646666852455815
57.71877525;11.958134509;10.09311;-2.878119;0.121189;0.06568456;1646666852505615
57.718776647;11.95812633;10.2338;-2.76746;0.06033348;0.3978491;1646666852555537
57.718778063;11.958118041;10.37009;-2.675645;-0.2072226;0.01691557;1646666852605509
57.718779503;11.958109644;10.51158;-2.795369;0.2115901;0.3302099;1646666852655541
57.718780964;11.95810114;10.64535;-2.990779;0.06431464;0.0259047;1646666852705503
57.718782445;11.958092536;10.76445;-2.161498;0.003397909;-0.3080478;1646666852755564
57.718783938;11.958083836;10.88018;-2.233728;0.2833841;0.947163;1646666852805575
57.718785449;11.958075047;10.99114;-2.138169;0.4119281;0.2180217;1646666852855550
57.718786974;11.958066169;11.09982;-1.960334;-0.0005414185;0.3578232;1646666852905526
57.718788514;11.958057206;11.20438;-1.962165;0.4930513;0.2804295;1646666852955523
57.718790062;11.958048167;11.28041;-1.198408;0.1973725;-0.09877342;1646666853005585
57.718791618;11.958039078;11.33238;-0.7306541;0.09888963;-0.002180482;1646666853055530
57.718793178;11.958029955;11.3649;-0.4826356;0.2110996;-0.02134054;1646666853105544
57.718794739;11.958020815;11.37698;-0.3399263;0.1630519;-0.1714406;1646666853155597
57.718796299;11.958011665;11.38214;0.04611171;-0.05042728;-0.3017927;1646666853205579
57.718797863;11.958002518;11.3868;-0.3641558;-0.1190902;0.08255229;1646666853255529
57.718799439;11.957993364;11.40145;0.3553584;0.1422524;-0.2048383;1646666853305555
57.718801014;11.957984207;11.4032;0.04156192;0.3757218;0.1440465;1646666853355567
57.718802589;11.95797505;11.40392;0.1697097;0.1522288;-0.2644821;1646666853405529
57.718804166;11.957965896;11.39606;0.01186973;-0.09299077;-0.6611623;1646666853455904
57.718805745;11.95795675;11.38921;0.4223625;-0.1866162;-0.9329102;1646666853505576
57.718807322;11.957947611;11.37819;0.3249648;0.275485;-0.5931987;1646666853555595
57.718808896;11.957938477;11.37558;0.03568828;-0.03576932;0.193156;1646666853605651
57.718810469;11.957929348;11.36416;0.1964557;-0.04435747;-0.1661533;1646666853655595
57.718812041;11.957920229;11.3532;0.09588823;-0.1684713;-0.2596716;1646666853705549
57.718813612;11.957911121;11.33885;0.1820556;0.3022924;-0.3922497;1646666853755587
57.718815178;11.957902022;11.32817;0.2452023;0.08461495;-0.1535518;1646666853805587
57.718816744;11.957892935;11.31387;0.2841074;0.05194649;-0.1466458;1646666853855575
57.718818311;11.957883855;11.30956;-0.06134513;0.2281027;0.3466871;1646666853905573
57.718819877;11.957874778;11.30737;0.01377252;0.03519423;-0.05477022;1646666853955545
57.71882144;11.957865699;11.30785;-0.1413122;-0.249966;0.2338734;1646666854005605
57.718823003;11.957856621;11.3106;0.07620894;-0.06366143;-0.01403693;1646666854055575
57.718824567;11.957847539;11.31525;-0.09311053;-0.0393761;0.5895799;1646666854105570
57.718826132;11.957838453;11.32498;-0.193351;0.04410306;0.1512044;1646666854155619
57.718827695;11.957829357;11.33446;-0.2509166;0.249221;0.8420916;1646666854205642
57.71882926;11.957820247;11.33999;0.04243435;-0.08550762;0.3374133;1646666854255587
57.718830827;11.957811117;11.34038;0.1250371;-0.05434983;-0.04337693;1646666854305615
57.718832392;11.957801992;11.33116;0.1986001;0.1193558;0.04174851;1646666854355583
57.718833954;11.957792876;11.31432;0.2111975;0.2049626;-0.08757873;1646666854405585
57.718835513;11.957783772;11.30175;0.1959473;-0.1115336;-0.003406608;1646666854455922
57.71883707;11.957774679;11.28965;0.1152042;-0.06821931;0.2287844;1646666854505641
57.718838626;11.957765592;11.28454;0.0799595;-0.175533;0.1808943;1646666854555566
57.718840181;11.95775651;11.27672;0.2103336;-0.139325;0.2527699;1646666854605585
57.718841736;11.957747436;11.27054;0.1922167;-0.1149288;0.3476589;1646666854655605
57.71884329;11.957738367;11.26036;0.4057527;0.1785185;0.4102406;1646666854705669
57.718844842;11.957729305;11.25374;0.2772665;-0.1007808;0.03939211;1646666854755632
57.718846391;11.95772025;11.24187;0.4470578;-0.1029039;0.1733081;1646666854805729
57.718847939;11.957711209;11.2229;0.6333064;-0.1138126;-0.2043368;1646666854855615
57.718849486;11.957702182;11.20838;0.3134357;0.2056539;0.3356678;1646666854905635
57.71885103;11.957693168;11.19469;0.4125273;-0.1912144;-0.2070828;1646666854955614
57.718852569;11.957684158;11.18725;0.2528447;-0.241066;-0.02575096;1646666855005652
57.718854104;11.957675156;11.18196;0.03963185;0.1507991;0.5959172;1646666855055579
57.718855642;11.957666159;11.17301;0.2167399;0.2456394;0.1775458;1646666855105615
57.718857183;11.957657173;11.16309;0.4556098;0.1113562;0.05181284;1646666855155655
57.718858719;11.957648192;11.15788;-0.02746742;0.3454199;0.6524609;1646666855205646
57.718860252;11.957639217;11.14686;-0.1393136;0.65138;-0.05808342;1646666855255616
57.718861775;11.957630241;11.13449;0.4915936;-0.1718492;0.0554924;1646666855305691
57.718863299;11.957621276;11.12579;0.1799203;0.09037618;0.0343667;1646666855355606
57.718864819;11.957612317;11.11606;0.2107504;0.09348592;0.2098725;1646666855405639
57.718866338;11.957603364;11.10991;0.3852305;0.3225789;-0.04587884;1646666855455959
57.718867846;11.957594413;11.10121;0.3789039;0.3623219;-0.2313964;1646666855505600
57.718869346;11.957585465;11.09176;0.06314667;0.4569085;-0.1162794;1646666855555679
57.718870834;11.957576519;11.07902;0.4424847;0.4637209;-0.4882004;1646666855605641
57.71887231;11.957567578;11.0702;0.03896542;0.6487643;-0.3536236;1646666855655626
57.718873768;11.957558636;11.05617;0.2879124;0.8380138;-0.4325774;1646666855705655
57.718875203;11.957549694;11.04469;0.09029298;0.968655;-0.1057993;1646666855755600
57.718876613;11.957540746;11.03595;0.1589303;0.9026675;0.2114355;1646666855805680
