lat;lon;speed;accel_lon;accel_trans;accel_down;ts
57.719105927;11.956613387;0.02149577;0.005049291;-0.1383878;-0.3506817;1646666944008639
57.719105946;11.956613273;0.02062225;-0.1857109;0.1473335;0.1734952;1646666944058595
57.719105966;11.956613158;0.02413557;0.2288739;-0.1549094;-0.3103436;1646666944108603
57.719105986;11.956613041;0.0241382;-0.1849551;0.1786866;0.3754426;1646666944158619
57.719106007;11.956612921;0.02603114;0.1495364;-0.1329987;-0.2857398;1646666944208687
57.719106029;11.95661281;0.02298236;-0.3280399;0.1809899;0.3709508;1646666944258611
57.719106058;11.956612714;0.02072792;0.1892189;-0.1246832;-0.4013177;1646666944308602
57.719106087;11.956612621;0.02003987;-0.2771814;0.1010783;0.3421318;1646666944358591
57.719106115;11.956612528;0.02057511;0.2254695;-0.1238529;-0.3855795;1646666944408609
57.719106144;11.956612435;0.02111859;-0.2470302;0.05048838;0.2965976;1646666944458915
57.719106172;11.956612343;0.01745774;0.1128967;-0.06769484;-0.2824406;1646666944508687
57.719106199;11.956612253;0.01882403;-0.1910261;0.1007741;0.3100301;1646666944558607
57.719106226;11.956612164;0.01644346;0.2955676;-0.06852835;-0.3202288;1646666944608639
57.719106253;11.956612077;0.01751254;-0.471349;0.03828002;0.2876021;1646666944658656
57.719106278;11.956612002;0.02436485;-0.4055261;0.0537;0.1048918;1646666944708661
57.719106299;11.956611946;0.04987861;-0.6717272;-0.03208586;0.05214754;1646666944758685
57.719106315;11.95661192;0.08789369;-0.8426181;0.1060369;0.2803922;1646666944808673
57.719106325;11.956611922;0.1249673;-0.6871887;-0.1696734;-0.1922276;1646666944858662
57.719106329;11.956611957;0.1668686;-0.9594446;0.1295414;0.1821995;1646666944908624
57.719106326;11.956612024;0.2050899;-0.7432225;-0.09540023;-0.2681788;1646666944958591
57.719106317;11.956612122;0.2450055;-0.8727341;0.06147898;0.1051699;1646666945008696
