lat;lon;speed;accel_lon;accel_trans;accel_down;ts
57.719117829;11.956593456;0.0625729;-0.3213192;0.1384764;0.426239;1646666821854536
57.719117868;11.956593315;0.06613583;0.2494168;-0.07951619;-0.3891366;1646666821904556
57.719117908;11.956593175;0.06295754;-0.1861251;-0.013865;0.1591354;1646666821954575
57.719117948;11.956593037;0.06206783;0.05206674;0.02139552;-0.06909257;1646666822004583
57.719117987;11.956592899;0.0616566;-0.03882732;-0.08071522;-0.0496209;1646666822054564
57.719118025;11.956592762;0.06096036;-0.0004212295;0.02871399;0.002632076;1646666822104549
57.719118064;11.956592626;0.06111784;-0.05705667;-0.03309656;0.0477305;1646666822154554
57.719118103;11.95659249;0.06015556;0.02998717;0.04051751;-0.04213658;1646666822204569
57.719118133;11.956592346;0.05955559;-0.05789433;-0.05283619;0.02918805;1646666822254540
57.719118145;11.956592181;0.0587715;-0.02108325;0.06625865;0.02816875;1646666822304529
57.719118157;11.956592016;0.05850986;-0.01747455;-0.04917483;-0.01096064;1646666822354564
57.719118168;11.956591852;0.05772781;-0.09086286;0.0552473;0.0549414;1646666822404547
57.71911818;11.956591689;0.05770266;0.05731498;-0.07104982;-0.1144467;1646666822454842
57.719118191;11.956591528;0.05554937;-0.1427315;0.05865418;0.1529247;1646666822504576
57.719118202;11.956591366;0.05682448;0.07359748;-0.03540808;-0.1542145;1646666822554545
57.719118213;11.956591206;0.055547;-0.08656003;0.04395732;0.1309296;1646666822604540
57.719118224;11.956591046;0.05636919;0.06109622;-0.01197855;-0.098457;1646666822654540
57.719118234;11.956590888;0.05354315;-0.09199611;0.009696613;0.117989;1646666822704539
57.719118244;11.956590735;0.03746066;-0.5792016;0.02077047;0.1280877;1646666822754565
57.71911825;11.956590603;0.01138574;-0.4838901;0.008071436;0.1414597;1646666822804604
57.719118252;11.956590492;0.01748762;-0.5565013;-0.04330839;0.1940536;1646666822854534
57.719118249;11.956590405;0.04868817;-0.7343539;-0.05749203;0.1162824;1646666822904556
57.719118242;11.956590344;0.0832094;-0.6893434;-0.00300318;-0.02085673;1646666822954532
57.719118229;11.956590312;0.117906;-0.6439615;-0.05380191;-0.1512419;1646666823004619
57.719118212;11.956590309;0.1562839;-0.9858484;0.01912808;0.154811;1646666823054581
57.719118188;11.956590336;0.1919458;-0.5623176;0.01938578;-0.3142563;1646666823104609
57.71911816;11.956590393;0.2311299;-0.9566857;-0.1033875;-0.01846001;1646666823154616
57.719118126;11.956590483;0.271004;-0.830919;0.0688618;0.1402939;1646666823204639
57.719118088;11.956590618;0.3103373;-0.704681;-0.2218239;-0.2924243;1646666823254570
57.719118054;11.956590821;0.3557651;-1.108058;0.1572595;0.387551;1646666823304599
57.719118014;11.956591058;0.3972099;-0.7944406;-0.1519219;-0.02915095;1646666823354606
57.719117967;11.956591331;0.4455919;-0.9792739;0.0670228;-0.005806192;1646666823404575
57.719117913;11.956591644;0.496228;-1.051655;0.04286286;0.1585168;1646666823454942
57.719117851;11.956591999;0.5514573;-1.15582;-0.02767595;0.1728065;1646666823504573
57.719117782;11.9565924;0.6104648;-1.230169;-0.08097667;-0.02626727;1646666823554579
57.719117703;11.95659285;0.6726544;-1.30604;-0.05024002;0.06051505;1646666823604597
57.719117616;11.956593351;0.7374529;-1.317516;-0.03807751;-0.03021942;1646666823654602
57.719117519;11.956593905;0.8057526;-1.343921;0.02900317;0.01416391;1646666823704544
57.719117412;11.956594514;0.8764173;-1.395535;0.05023453;0.0104117;1646666823754593
57.719117295;11.95659518;0.9484075;-1.427339;0.01567368;0.01894214;1646666823804660
57.719117167;11.956595904;1.022696;-1.473765;-0.001212616;0.1273992;1646666823854581
57.719117029;11.956596689;1.098332;-1.517012;0.009811511;0.1593355;1646666823904578
57.71911688;11.956597534;1.175;-1.556765;-0.01151279;0.1232151;1646666823954607
57.71911672;11.956598441;1.252755;-1.585486;-0.05669248;0.03535028;1646666824004631
57.719116549;11.956599412;1.333081;-1.630186;-0.04399021;0.008253057;1646666824054592
57.719116366;11.956600447;1.415065;-1.67053;-0.01589422;0.1861152;1646666824104597
57.71911617;11.956601547;1.498994;-1.738925;-0.06022393;0.1945309;1646666824154668
57.719115962;11.956602716;1.585792;-1.726706;-0.03084248;0.04808619;1646666824204610
57.719115742;11.956603961;1.674019;-1.806719;-0.02767053;0.05809142;1646666824254589
57.71911551;11.956605293;1.766938;-1.882664;-0.05478943;0.04830544;1646666824304601
57.719115264;11.9566067;1.862196;-1.873939;0.01467796;0.1084272;1646666824354663
57.719115003;11.956608184;1.96019;-1.911966;0.06639503;0.0834792;1646666824404613
57.71911473;11.956609745;2.057932;-1.993158;-0.01293922;0.08844897;1646666824454892
57.719114442;11.956611385;2.155137;-1.874805;-0.07702604;0.08707802;1646666824504668
57.719114141;11.956613102;2.252549;-1.991787;0.07055867;0.101612;1646666824554680
57.719113826;11.956614897;2.348709;-1.906951;0.01595285;0.1337026;1646666824604585
57.719113499;11.956616768;2.442827;-1.789973;0.07874618;0.1355824;1646666824654603
57.719113158;11.956618713;2.535357;-1.885471;-0.03035091;-0.01733287;1646666824704622
57.719112803;11.956620731;2.627149;-1.98175;-0.02141232;0.2244777;1646666824754631
57.719112435;11.956622822;2.721592;-2.069613;-0.04671678;0.1398805;1646666824804638
57.719112053;11.95662499;2.8169;-1.873229;0.03963304;-0.01437;1646666824854605
57.719111658;11.956627236;2.915162;-1.910494;0.08283911;-0.01093627;1646666824904594
57.71911125;11.956629561;3.015845;-2.01425;0.05490034;0.05016053;1646666824954619
57.719110827;11.956631968;3.118692;-2.061275;0.1138094;0.111607;1646666825004669
57.71911039;11.956634459;3.227712;-2.236477;-0.01751249;0.3435653;1646666825054634
57.719109937;11.956637038;3.340441;-2.380518;-0.09175453;0.2563854;1646666825104643
57.719109468;11.956639708;3.455354;-2.258322;-0.1867884;0.1878788;1646666825154654
57.719108982;11.956642471;3.573274;-2.351213;-0.03294089;0.1252395;1646666825204714
57.719108477;11.956645328;3.688483;-2.325334;-0.01392854;0.2327123;1646666825254629
57.719107953;11.956648281;3.804609;-2.310379;0.03482074;0.1037314;1646666825304673
57.719107413;11.956651327;3.918627;-2.171851;-0.05918895;0.105368;1646666825354630
57.719106858;11.956654461;4.02699;-2.215457;0.02197107;0.05949684;1646666825404641
57.719106287;11.956657677;4.127213;-1.979014;-0.04235644;-0.02205229;1646666825454928
57.719105702;11.956660972;4.222773;-1.735149;0.1365547;0.02592482;1646666825504644
57.719105106;11.956664343;4.317418;-1.882701;0.1360057;0.1633476;1646666825554693
