lat;lon;speed;accel_lon;accel_trans;accel_down;ts
57.718708581;11.958541765;0.2476947;0.01789344;0.07822399;0.1225342;1646666967509391
57.71870858;11.958541907;0.2473263;-0.01315063;-0.04878895;-0.09754476;1646666967559384
57.718708578;11.958542048;0.2451195;0.0120947;0.06534417;0.1498174;1646666967609419
57.718708577;11.95854219;0.2447005;0.03674725;-0.1465409;-0.1879724;1646666967659400
57.718708575;11.958542331;0.2423284;-0.08105351;0.0839951;0.2433084;1646666967709392
57.718708574;11.958542472;0.24265;0.113615;-0.1697268;-0.3085819;1646666967759365
57.718708573;11.958542612;0.2395273;-0.2279154;0.1731673;0.3241431;1646666967809384
57.718708571;11.958542751;0.2393983;0.195862;-0.1375399;-0.3917603;1646666967859385
57.71870857;11.958542889;0.2370846;-0.2865792;0.2583468;0.4588412;1646666967909398
57.718708569;11.958543028;0.2374131;0.288998;-0.1238458;-0.4256839;1646666967959371
57.718708567;11.958543166;0.234238;-0.2842498;0.2227256;0.4636526;1646666968009385
57.718708566;11.958543303;0.2353032;0.297628;-0.1445203;-0.4388266;1646666968059392
57.718708564;11.95854344;0.2323333;-0.2925152;0.1421122;0.4181965;1646666968109403
57.718708563;11.958543577;0.2333181;0.2634339;-0.1330075;-0.4280703;1646666968159398
57.718708562;11.958543713;0.2312338;-0.2531323;0.06013179;0.3383271;1646666968209402
57.71870856;11.958543837;0.2300526;0.1898053;-0.1004175;-0.33224;1646666968259386
57.718708555;11.958543932;0.2265467;-0.2236541;0.0143362;0.2268612;1646666968309417
57.718708551;11.958544025;0.2241564;-0.09451579;-0.04967527;-0.073823;1646666968359405
57.718708548;11.95854411;0.2053834;-0.5860326;-0.01285811;0.251822;1646666968409452
57.718708548;11.958544175;0.1797611;-0.437359;0.08109034;0.1530204;1646666968459610
57.718708553;11.958544214;0.14805;-0.8147979;-0.05964746;0.1471384;1646666968509437
57.718708563;11.958544223;0.1163115;-0.7747688;0.06180643;0.0216194;1646666968559428
57.718708579;11.958544197;0.09027647;-0.9169927;-0.0743381;-0.01295878;1646666968609495
57.7187086;11.958544138;0.08212842;-0.8500295;0.02975;-0.03226786;1646666968659453
57.718708627;11.958544046;0.09338701;-0.8307868;-0.1229113;-0.1692358;1646666968709448
57.718708658;11.958543922;0.1208662;-0.846177;0.04069087;-0.05032164;1646666968759480
57.718708696;11.958543767;0.1512139;-0.8353703;-0.1121525;-0.07134891;1646666968809465
57.718708739;11.958543578;0.1871396;-0.9031025;0.07562925;0.08611704;1646666968859427
57.718708787;11.958543356;0.2304138;-0.9911217;-0.0832433;0.1537775;1646666968909457
57.718708842;11.958543093;0.2803576;-1.094393;0.03434991;-0.04014928;1646666968959447
57.718708905;11.958542782;0.3461452;-1.352077;0.101729;0.08568952;1646666969009436
57.718708978;11.958542411;0.4309665;-1.832147;0.1073729;0.1308703;1646666969059432
57.718709064;11.958541965;0.532982;-2.168385;-0.0005324911;0.1262606;1646666969109473
57.718709165;11.958541429;0.6546503;-2.583879;-0.03546949;0.39057;1646666969159471
57.718709284;11.958540785;0.7990595;-3.018248;0.02817903;0.433796;1646666969209468
57.718709427;11.958540009;0.96895;-3.595241;0.02418518;0.413828;1646666969259421
57.718709599;11.958539068;1.160879;-3.849875;0.05162606;0.48448;1646666969309498
57.718709798;11.958537965;1.368884;-4.024015;0.05599725;0.09569935;1646666969359430
57.718710026;11.958536695;1.578792;-4.226027;0.01742308;0.1453172;1646666969409422
57.71871028;11.958535261;1.780323;-4.003572;-0.1661076;-0.07705878;1646666969459718
57.718710561;11.958533667;1.97784;-4.052248;0.09295161;-0.1103244;1646666969509427
57.718710867;11.958531917;2.172377;-3.927985;-0.1009209;0.1492139;1646666969559479
