lat;lon;speed;accel_lon;accel_trans;accel_down;ts
57.718800124;11.958340341;0.1575937;-0.03576354;0.0105159;0.03040804;1646666798453956
57.718800133;11.958340298;0.1576387;0.007266275;-0.02419233;-0.04792013;1646666798503741
57.718800143;11.958340255;0.1584357;-0.05523247;0.06261493;0.07487265;1646666798553762
57.718800152;11.958340211;0.1576657;0.05283887;-0.0008669306;-0.05927646;1646666798603741
57.718800162;11.958340167;0.1581846;-0.085945;0.04523343;0.1059205;1646666798653747
57.718800171;11.958340123;0.1574352;0.0603501;-0.038441;-0.1136394;1646666798703750
57.718800181;11.958340078;0.159063;-0.1116249;0.009303126;0.09551231;1646666798753776
57.718800191;11.958340031;0.159531;0.01450189;-0.04114396;-0.07263327;1646666798803813
57.718800202;11.958339982;0.1650888;-0.180001;-0.01137346;0.08021036;1646666798853747
57.718800213;11.958339927;0.1760601;-0.3740769;0.0004343234;0.1010872;1646666798903722
57.718800228;11.958339858;0.1980812;-0.4230566;0.03780971;0.1513276;1646666798953748
57.718800246;11.958339769;0.2251431;-0.5749729;-0.01421787;0.09561512;1646666799003824
57.71880027;11.958339657;0.2557655;-0.5204143;-0.04976903;-0.02583118;1646666799053755
57.718800298;11.958339519;0.2894037;-0.8596552;-0.01921027;0.05790282;1646666799103755
57.718800332;11.958339356;0.3230094;-0.7671381;0.05446266;0.08426386;1646666799153839
57.718800371;11.958339164;0.3545802;-0.4429107;0.0204309;-0.1784561;1646666799203827
57.718800413;11.958338951;0.3896569;-0.8562379;-0.04732585;0.05142078;1646666799253749
57.718800458;11.958338724;0.4232672;-0.638719;0.08740383;0.02455326;1646666799303743
57.718800508;11.95833847;0.4591008;-0.6731705;-0.1669116;-0.1690737;1646666799353778
57.718800565;11.958338184;0.5022079;-1.003957;0.1018358;0.2012309;1646666799403767
57.718800628;11.958337863;0.5476927;-0.9261025;-0.07056412;0.1105426;1646666799454031
57.718800699;11.958337503;0.5987995;-1.08801;-0.02388801;-0.01459108;1646666799503791
57.718800778;11.958337102;0.6499898;-0.9501604;0.03305575;-0.01796735;1646666799553775
57.718800866;11.95833666;0.7021248;-1.086612;0.1089435;0.1487991;1646666799603790
57.718800961;11.958336177;0.7551599;-1.171295;-0.001629162;0.2024102;1646666799653756
57.718801064;11.958335649;0.8133742;-1.265508;0.01767179;0.1396924;1646666799703747
57.718801177;11.958335071;0.8788289;-1.414712;-0.009198952;0.1671858;1646666799753809
57.7188013;11.958334438;0.9513472;-1.534984;-0.01990206;0.1934962;1646666799803835
57.718801435;11.958333746;1.027578;-1.617865;-0.01924144;0.3324783;1646666799853784
57.718801581;11.958332991;1.108864;-1.771805;-0.0582228;0.1418953;1646666799903787
57.718801741;11.958332169;1.198547;-1.906306;-0.02309402;0.01486939;1646666799953758
57.718801915;11.958331272;1.298003;-2.060887;-0.03735046;0.2250893;1646666800003838
57.718802106;11.958330293;1.406989;-2.325604;-0.04131789;0.1715133;1646666800053789
57.718802313;11.958329226;1.517897;-2.223373;0.002554491;0.1112729;1646666800103753
