sample_ts;northHeading;IMULatAcceleration;IMULgtAcceleration;IMUVerAcceleration;SteeringWhlAngle;IMURollRate;IMUYawRate;groundSpeed
1584853144205947;91.55534;;;;;;;
1584853144405974;92.88356;;;;;;;
1584853144605990;94.41741;;;;;;;
1584853144806070;96.10384;;;;;;;
1584853145006128;97.9564;;;;;;;
1584853145205933;100.058;;;;;;;
1584853145406010;102.2309;;;;;;;
1584853145605952;104.3494;;;;;;;
1584853145806021;106.4755;;;;;;;
1584853146006195;108.5672;;;;;;;
1584853146205955;110.6313;;;;;;;
1584853146405962;112.5621;;;;;;;
1584853146605935;114.2368;;;;;;;
1584853146805955;115.6164;;;;;;;
1584853147006168;116.7571;;;;;;;
1584853147205951;117.5057;;;;;;;
1584853147405998;117.7281;;;;;;;
1584853147605948;117.4299;;;;;;;
1584853147805958;116.6693;;;;;;;
1584853148006129;115.2597;;;;;;;
1584853148206046;113.0812;;;;;;;
1584853148405977;110.2452;;;;;;;
1584853148605958;106.9956;;;;;;;
1584853148806070;103.5178;;;;;;;
1584853149006154;99.82607;;;;;;;
1584853149205965;95.91457;;;;;;;
1584853149405993;91.65859;;;;;;;
1584853149606086;87.22958;;;;;;;
1584853149806037;82.64176;;;;;;;
1584853150006231;77.95337;;;;;;;
1584853150205999;73.27886;;;;;;;
1584853150406039;68.4866;;;;;;;
1584853150606011;63.673;;;;;;;
1584853150806149;58.81962;;;;;;;
1584853151006186;53.98729;;;;;;;
1584853151206018;49.14502;;;;;;;
1584853151406003;44.27283;;;;;;;
1584853151606028;39.40858;;;;;;;
1584853151806043;34.55693;;;;;;;
1584853152006242;29.56642;;;;;;;
1584853152206013;24.52014;;;;;;;
1584853152406052;19.46611;;;;;;;
1584853152606027;14.43562;;;;;;;
1584853152806242;9.352003;;;;;;;
1584853153006217;4.36307;;;;;;;
1584853153206040;359.7495;;;;;;;
1584853153406021;355.7584;;;;;;;
1584853153606075;352.4989;;;;;;;
1584853153806009;349.7653;;;;;;;
1584853154006181;347.0972;;;;;;;
1584853154206006;344.7261;;;;;;;
1584853154406025;343.0068;;;;;;;
1584853154606056;342.1726;;;;;;;
1584853154806199;342.2034;;;;;;;
1584853155006265;343.0292;;;;;;;
1584853155206018;344.3156;;;;;;;
1584853155406019;345.8332;;;;;;;
1584853155606038;347.4908;;;;;;;
1584853155806145;349.2483;;;;;;;
1584853156006277;351.1082;;;;;;;
1584853156206011;353.018;;;;;;;
