,Timestamp,IMULgtAcceleration,IMULatAcceleration,IMUVerAcceleration,IMURollRate,IMUYawRate,northHeading,groundSpeed,throttle,location_x,location_y
2,324.427451744676,0,0,0.009951591491699,0,0,3.16626501083374,3.52800028324127,1,,
3,324.477451745421,0,0,0.010045051574707,0,0,3.16626501083374,3.52800028324127,1,0.70049923658371,-189.727951049805
4,324.527451746166,-4.81801180285402E-07,-1.95253051060718E-05,10.0476703643799,-3.5390148696024E-06,4.94043139731559E-11,3.16626501083374,5.29200053215027,1,,
5,324.577451746911,-4.81801180285402E-07,-1.95253051060718E-05,17.9588661193848,-2.47434127231827E-06,4.04036942791564E-11,3.16626501083374,5.29200053215027,1,0.70049923658371,-189.727951049805
6,324.627451747656,0,0,18.2409229278564,-1.28258727727371E-06,4.82307735416576E-11,3.16626501083374,7.05600099563599,1,,
7,324.677451748401,9.63602360570803E-07,3.90506102121435E-05,17.5883979797363,-8.38891310195322E-07,-7.03763436415983E-13,3.16626501083374,7.05600099563599,1,0.70049923658371,-189.727951049805
8,324.727451749146,-4.81801180285402E-07,-1.95253051060718E-05,16.3459777832031,-1.01593627732655E-07,2.00780503334386E-11,3.16626501083374,5.74747309685211,1,,
9,324.777451749891,9.63602360570803E-07,3.90506102121435E-05,14.8148832321167,7.86087994697482E-08,-5.91827975515713E-12,3.16626501083374,5.74747309685211,1,0.700499355792999,-189.727951049805
10,324.827451750636,1.21245169639587,0.000468969345093,13.2065238952637,2.84053385257721E-07,-1.52510244788573E-06,3.16626501083374,4.22776050567874,1,,
11,324.877451751381,8.19086170196533,-0.000669479370117,11.6172561645508,4.17232513427734E-07,3.48621142620686E-07,3.16626262664795,4.22776050567874,1,0.700499415397644,-189.727951049805
12,324.927451752126,7.91911888122559,-3.814697265625E-06,10.4686079025269,6.66826963424683E-07,4.17716364609078E-07,3.16626501083374,2.73489918708951,1,,
13,324.977451752871,6.96017408370972,0.000162124633789,9.60231018066406,2.9243528842926E-07,4.61437593912706E-07,3.16626262664795,2.73489918708951,1,0.700499475002289,-189.727951049805
14,325.027451753616,6.37341213226318,-3.91006469726562E-05,9.00242424011231,5.66244125366211E-07,4.92946128360927E-07,3.16626262664795,1.41145938634925,1,,
15,325.077451754361,5.98914813995361,-2.57492065429687E-05,8.65407276153564,3.71597707271576E-07,5.20929461345077E-07,3.16626262664795,1.41145938634925,1,0.700499475002289,-189.727951049805
16,325.127451755106,5.74293947219849,-8.63075256347656E-05,8.51918983459473,2.60770320892334E-07,5.56141458218917E-07,3.16626262664795,0.340402713418088,1,,
17,325.177451755851,5.57522058486939,0.000184535980225,8.5494556427002,-7.47386366128922E-08,5.89238879911136E-07,3.16626262664795,0.340402713418088,1,0.700499534606934,-189.727951049805
18,325.227451756597,4.72030401229858,-0.000301361083984,8.71748447418213,-5.72763383388519E-08,2.64531990978867E-07,3.16626000404358,0.445522159337998,1,,
19,325.277451757342,0.529143691062927,0.00056129693985,9.03075408935547,3.25962901115417E-07,2.7805072022602E-08,3.16626000404358,0.445522159337998,1,0.700499475002289,-189.727951049805
20,325.327451758087,0.590232253074646,0.00702691078186,9.21598815917969,9.07815992832184E-05,0.000311797717586,3.1662769317627,1.18447643060172,1,,
21,325.377451758832,5.76101016998291,-0.005965709686279,9.28298664093018,-6.40451908111572E-05,-5.34597711521201E-05,3.1662769317627,1.18447643060172,1,0.700423657894135,-189.724914550781
22,325.427451759577,6.02495431900024,-0.001156806945801,9.50686740875244,-2.60369852185249E-05,-6.37475022813305E-06,3.1662745475769,2.54777334398974,1,,
23,325.477451760322,4.33914136886597,0.000806331634521,9.73618602752686,-1.36804301291704E-05,-4.61474428448128E-07,3.1662745475769,2.54777334398974,1,0.699845135211945,-189.701461791992
24,325.527451761067,2.12117671966553,-0.000333309173584,9.91701221466064,-6.46151602268219E-06,5.09226083522663E-08,3.1662769317627,3.79031848674521,1,,
25,325.577451761812,-0.425763010978699,-0.000147432088852,10.0380182266235,-1.60001218318939E-06,-1.17062882054597E-07,3.1662745475769,3.79031848674521,1,0.698779881000519,-189.658279418945
26,325.627451762557,-2.18155670166016,-0.008233785629272,10.0780115127563,-0.000103769823909,-0.00035626697354,3.16626000404358,4.91581850317722,1,,
27,325.677451763302,-3.51952743530273,0.006202220916748,10.0675592422485,7.00671225786209E-05,4.61473428003956E-05,3.16626000404358,4.91581850317722,1,0.697287380695343,-189.597793579102
28,325.727451764047,-5.3804497718811,0.001634120941162,10.0377292633057,3.34829092025757E-05,5.21857418789296E-06,3.16626000404358,5.97238758885195,1,,
29,325.777451764792,-5.06483364105225,-0.000556468963623,9.94587898254395,2.06567347049713E-05,2.260749170091E-07,3.16626262664795,5.97238758885195,1,0.695404708385468,-189.521484375
30,325.827451765537,-4.28591537475586,5.340576171875E-05,9.86248779296875,1.16173177957535E-05,-2.22906237468123E-07,3.16626000404358,6.99131332712912,1,,
31,325.877451766282,-3.16737961769104,-0.000155687332153,9.79574012756348,4.63332980871201E-06,-1.71874489751644E-07,3.16626000404358,6.99131332712912,1,0.693156063556671,-189.43034362793
32,325.927451767027,-1.66839396953583,5.97238540649414E-05,9.74875354766846,4.4703483581543E-08,-4.77728008263512E-08,3.16626262664795,7.98903570090338,1,,
33,325.977451767772,0.25137335062027,-0.000138163566589,9.71961879730225,-1.8775463104248E-06,1.05361323221587E-07,3.16626262664795,7.98903570090338,1,0.690556883811951,-189.324996948242
34,326.027451768517,1.87096726894379,0.000216484069824,9.71521186828613,-3.4235417842865E-06,2.16001353692263E-07,3.16626000404358,8.9727655524738,1,,
