index;accel_trans;ts
176;1.754738;1646666928308070
177;2.228595;1646666928358108
178;2.212583;1646666928408052
179;1.750094;1646666928458376
180;2.442971;1646666928508126
181;2.509205;1646666928558072
182;2.231546;1646666928608079
183;1.427505;1646666928658088
184;1.69684;1646666928708093
185;1.952986;1646666928758112
186;1.723461;1646666928808122
187;1.109163;1646666928858104
188;1.02165;1646666928908081
189;0.9584293;1646666928958092
190;0.7540311;1646666929008154
191;0.9632464;1646666929058126
192;0.4828369;1646666929108107
193;0.3167084;1646666929158143
194;0.1634494;1646666929208162
195;0.2964757;1646666929258122
196;0.1879839;1646666929308111
197;0.3638761;1646666929358135
198;0.2484278;1646666929408136
199;0.09753428;1646666929458450
200;0.1163476;1646666929508202
201;0.3011552;1646666929558106
202;0.1292835;1646666929608077
203;-0.09686818;1646666929658143
204;0.1507626;1646666929708117
205;0.2422114;1646666929758133
206;-0.1925689;1646666929808171
207;-0.30845;1646666929858124
208;-0.5305538;1646666929908104
209;-0.4345295;1646666929958160
210;-0.452897;1646666930008176
211;-0.6960415;1646666930058145
212;-0.8603799;1646666930108125
213;-0.7135211;1646666930158148
214;-0.6332147;1646666930208191
215;-0.7241213;1646666930258130
216;-0.9078994;1646666930308130
217;-0.455778;1646666930358154
218;-0.5934455;1646666930408147
219;-0.8769897;1646666930458420
220;-0.9821662;1646666930508203
221;-0.8081427;1646666930558184
222;-0.6884085;1646666930608165
223;-0.8535914;1646666930658231
224;-0.9564647;1646666930708224
225;-0.7551733;1646666930758220
226;-0.8934212;1646666930808188
227;-1.049706;1646666930858172
228;-1.303016;1646666930908149
229;-1.700946;1646666930958171
230;-1.561203;1646666931008212
231;-1.571335;1646666931058201
232;-1.497638;1646666931108157
233;-1.498215;1646666931158200
234;-1.285191;1646666931208220
235;-1.20996;1646666931258212
236;-1.307506;1646666931308168
