index;accel_trans;ts
150;-1.251387;1663765175811783
151;-1.882752;1663765175861714
152;-2.260459;1663765175911755
153;-2.144824;1663765175961775
154;-2.778019;1663765176011786
155;-3.449865;1663765176061794
156;-3.687194;1663765176111751
157;-3.9822;1663765176161723
158;-4.59984;1663765176211757
159;-4.484205;1663765176261860
160;-4.461873;1663765176311808
161;-4.39572;1663765176361743
162;-3.8041;1663765176411783
163;-3.517104;1663765176461743
164;-3.221504;1663765176511749
165;-2.400564;1663765176561690
166;-2.361685;1663765176611830
167;-2.303542;1663765176661761
168;-1.768167;1663765176711753
169;-0.9123009;1663765176761774
170;-0.02456482;1663765176811888
171;0.4733048;1663765176861776
172;0.925956;1663765176911837
173;1.584771;1663765176961762
174;2.009326;1663765177011755
175;2.632884;1663765177061837
176;2.69674;1663765177111765
177;3.274774;1663765177161778
178;4.492947;1663765177211777
179;4.338321;1663765177261792
180;4.249693;1663765177311768
181;3.549281;1663765177361870
182;4.252394;1663765177411772
183;4.954717;1663765177461774
184;5.182184;1663765177511782
185;4.179891;1663765177561839
186;3.709688;1663765177611784
187;3.338455;1663765177661755
188;2.485548;1663765177711752
189;2.379088;1663765177761877
