index;accel_trans;ts
148;-1.239531;1663765150211507
149;-1.735188;1663765150261620
150;-2.183286;1663765150311478
151;-2.850783;1663765150361451
152;-3.053978;1663765150411443
153;-3.763722;1663765150461485
154;-3.90798;1663765150511506
155;-4.329978;1663765150561472
156;-4.283542;1663765150611542
157;-4.029779;1663765150661506
158;-4.024608;1663765150711465
159;-3.765661;1663765150761504
160;-3.334556;1663765150811561
161;-3.068213;1663765150861460
162;-2.169922;1663765150911447
163;-1.223286;1663765150961481
164;-0.6058247;1663765151011502
165;-0.09872835;1663765151061573
166;0.706749;1663765151111531
167;1.646825;1663765151161467
168;1.979771;1663765151211475
169;2.494236;1663765151261507
170;2.742763;1663765151311467
171;3.287642;1663765151361535
172;3.89196;1663765151411532
173;3.594324;1663765151461562
174;3.750654;1663765151511513
175;3.996355;1663765151561536
176;3.944202;1663765151611465
177;3.861092;1663765151661500
178;3.978678;1663765151711480
179;3.798148;1663765151761583
180;3.528974;1663765151811569
181;2.964188;1663765151861486
182;2.515432;1663765151911530
183;2.184274;1663765151961566
