index;accel_trans;ts
113;1.928289;1646666804103894
114;1.73847;1646666804153974
115;2.194547;1646666804204042
116;1.920937;1646666804253961
117;2.497392;1646666804303912
118;2.228826;1646666804353934
119;2.44462;1646666804403900
120;2.792689;1646666804454215
121;2.128616;1646666804503926
122;2.122527;1646666804553932
123;1.944481;1646666804603922
124;2.122995;1646666804653945
125;2.289135;1646666804703927
126;1.766038;1646666804753981
127;2.128404;1646666804803991
128;1.803826;1646666804853946
129;2.354847;1646666804903919
130;2.320909;1646666804953930
131;2.26506;1646666805003998
132;2.055967;1646666805053968
133;1.733884;1646666805103971
134;1.256631;1646666805154083
135;1.005248;1646666805204085
136;0.7373218;1646666805254006
137;0.4075585;1646666805304012
138;-0.04388972;1646666805353995
139;-0.04704111;1646666805404014
140;-0.2247395;1646666805454281
141;-0.2106881;1646666805504012
142;-0.4046903;1646666805554051
143;-0.5552589;1646666805604043
144;-0.4238499;1646666805654020
145;-0.826917;1646666805704001
146;-0.8608546;1646666805754017
147;-0.8475454;1646666805804040
148;-1.252497;1646666805854007
149;-1.862072;1646666805903998
150;-1.373977;1646666805953969
151;-1.189572;1646666806004048
152;-1.586614;1646666806053983
153;-2.257595;1646666806103957
154;-2.602959;1646666806154035
155;-1.637348;1646666806204034
156;-2.826497;1646666806253997
157;-3.057134;1646666806304054
158;-2.765706;1646666806353974
159;-2.01642;1646666806404004
160;-1.702267;1646666806454228
161;-1.991278;1646666806504006
162;-2.317566;1646666806554034
163;-2.518911;1646666806604046
164;-2.071278;1646666806654016
165;-1.576446;1646666806704060
166;-1.740326;1646666806754048
167;-1.860745;1646666806804130
168;-1.735475;1646666806854048
169;-1.57322;1646666806904024
170;-1.6649;1646666806954016
171;-1.416268;1646666807004070
