index;accel_trans;ts
150;1.207145;1646666829354808
151;1.15004;1646666829404762
152;2.061831;1646666829455113
153;2.389092;1646666829504774
154;2.115551;1646666829554792
155;2.612742;1646666829604790
156;3.099921;1646666829654791
157;3.031264;1646666829704774
158;2.377624;1646666829754790
159;1.931707;1646666829804819
160;2.028786;1646666829854764
161;1.967064;1646666829904755
162;1.835041;1646666829954773
163;1.644551;1646666830004815
164;1.436209;1646666830054768
165;1.300056;1646666830104765
166;0.7702092;1646666830154876
167;0.4304768;1646666830204830
168;0.2571436;1646666830254782
169;0.1108223;1646666830304765
170;0.1215673;1646666830354797
171;-0.3977797;1646666830404805
172;-0.6826671;1646666830455098
173;-0.2629771;1646666830504834
174;0.1048099;1646666830554864
175;0.03203412;1646666830604843
176;-0.296989;1646666830654799
177;-0.1319043;1646666830704835
178;0.3231891;1646666830754831
179;-0.1266063;1646666830804903
180;-0.2580074;1646666830854829
181;-0.5412621;1646666830904941
182;-0.5178255;1646666830954851
183;-0.6002227;1646666831004869
184;-0.7692959;1646666831054856
185;-0.9572313;1646666831104864
186;-0.8238369;1646666831154869
187;-0.8714192;1646666831204874
188;-1.543363;1646666831254832
189;-1.834664;1646666831304845
190;-1.589652;1646666831354859
191;-1.821012;1646666831404820
192;-1.865807;1646666831455219
193;-2.073558;1646666831504861
194;-1.748905;1646666831554831
195;-2.037095;1646666831604844
196;-2.612729;1646666831654849
197;-2.420601;1646666831704861
198;-2.11323;1646666831754844
199;-2.302818;1646666831804885
200;-2.113875;1646666831854840
201;-1.658225;1646666831904848
202;-1.24775;1646666831954872
