index;accel_trans;ts
190;1.416905;1646666881356525
191;1.712458;1646666881406533
192;1.692088;1646666881456840
193;1.535892;1646666881506535
194;1.518134;1646666881556495
195;1.29951;1646666881606497
196;1.50231;1646666881656502
197;1.533957;1646666881706494
198;1.287533;1646666881756493
199;1.043197;1646666881806588
200;1.131769;1646666881856516
201;1.375788;1646666881906563
202;1.324251;1646666881956548
203;1.302595;1646666882006568
204;1.382594;1646666882056519
205;1.602479;1646666882106542
206;1.645828;1646666882156536
207;0.9894664;1646666882206583
208;0.462088;1646666882256557
209;0.8712403;1646666882306591
210;0.8509649;1646666882356554
211;0.7551121;1646666882406501
212;0.6836116;1646666882456793
213;0.7693632;1646666882506574
214;0.4137191;1646666882556541
215;-0.02742129;1646666882606592
216;-0.2363983;1646666882656596
217;-0.05119902;1646666882706540
218;-0.2314274;1646666882756575
219;-0.3006146;1646666882806594
220;-0.6115938;1646666882856540
221;-0.7621653;1646666882906519
222;-0.7636264;1646666882956540
223;-0.9928029;1646666883006618
224;-0.7893474;1646666883056551
225;-0.699591;1646666883106536
226;-1.14918;1646666883156579
227;-1.378153;1646666883206586
228;-1.337852;1646666883256549
229;-1.515725;1646666883306564
230;-1.118383;1646666883356581
231;-1.175322;1646666883406566
232;-1.478879;1646666883456840
233;-1.863981;1646666883506629
234;-1.400949;1646666883556576
235;-1.644797;1646666883606556
236;-1.710944;1646666883656558
237;-1.876785;1646666883706564
238;-1.793149;1646666883756604
239;-0.2160358;1646666883806640
240;-0.8806825;1646666883856619
