index;accel_trans;ts
154;1.784077;1646666951708845
155;1.884336;1646666951758866
156;2.089432;1646666951808909
157;2.118413;1646666951858898
158;2.37415;1646666951908855
159;2.254095;1646666951958843
160;1.458502;1646666952008921
161;1.72013;1646666952058849
162;1.405828;1646666952108851
163;0.659507;1646666952158920
164;1.363794;1646666952208962
165;1.132158;1646666952258901
166;0.9425918;1646666952308916
167;0.8334482;1646666952358922
168;0.8228516;1646666952408826
169;0.9666399;1646666952459165
170;0.1498566;1646666952508921
171;0.09907289;1646666952558895
172;0.4459927;1646666952608887
173;0.744031;1646666952658893
174;0.2365778;1646666952708881
175;0.1211402;1646666952758907
176;0.4173118;1646666952808970
177;0.2539774;1646666952858875
178;-0.2109835;1646666952908889
179;0.3129256;1646666952958908
180;0.3697335;1646666953008969
181;0.1869427;1646666953058913
182;0.06401408;1646666953108925
183;0.01109709;1646666953158941
184;-0.7082291;1646666953208985
185;0.09770193;1646666953258922
186;-0.4439678;1646666953309002
187;-0.7117404;1646666953358941
188;-0.4153858;1646666953408913
189;-0.9063592;1646666953459296
190;-1.368951;1646666953508966
191;-0.9518083;1646666953558959
192;-0.3622881;1646666953608974
193;-1.009792;1646666953658938
194;-0.6736791;1646666953708924
195;-0.9970529;1646666953758960
196;-1.143378;1646666953808997
197;-1.367848;1646666953858899
198;-1.235204;1646666953908940
199;-1.265739;1646666953958929
200;-0.9003193;1646666954008960
201;-0.9735457;1646666954058909
202;-1.389071;1646666954108942
203;-1.314175;1646666954158995
204;-1.631997;1646666954209004
