index;accel_trans;ts
149;1.677667;1646666974959631
150;1.461917;1646666975009655
151;1.125309;1646666975059645
152;1.227596;1646666975109655
153;1.467238;1646666975159654
154;1.344325;1646666975209652
155;1.381278;1646666975259647
156;1.327634;1646666975309662
157;1.345451;1646666975359613
158;1.319232;1646666975409644
159;0.8445239;1646666975459914
160;1.334863;1646666975509615
161;1.139933;1646666975559689
162;1.277309;1646666975609700
163;1.240712;1646666975659614
164;1.313419;1646666975709659
165;2.308137;1646666975759660
166;1.316171;1646666975809655
167;1.052544;1646666975859621
168;1.32199;1646666975909640
169;1.037638;1646666975959660
170;1.151398;1646666976009677
171;1.424391;1646666976059630
172;1.068641;1646666976109675
173;0.8979195;1646666976159698
174;0.7497789;1646666976209688
175;0.6438921;1646666976259671
176;0.1285686;1646666976309688
177;-0.3869103;1646666976359663
178;-0.425622;1646666976409688
179;-0.5908808;1646666976459981
180;-0.9575491;1646666976509725
181;-1.036196;1646666976559680
182;-1.411826;1646666976609747
183;-1.740912;1646666976659729
184;-1.610955;1646666976709656
185;-1.60617;1646666976759704
186;-1.68065;1646666976809690
187;-1.352291;1646666976859671
188;-1.041492;1646666976909681
189;-1.067671;1646666976959682
190;-1.125815;1646666977009709
191;-1.325849;1646666977059697
192;-0.7640651;1646666977109677
193;-1.07417;1646666977159695
194;-1.033807;1646666977209712
195;-1.222375;1646666977259677
196;-1.174936;1646666977309718
197;-1.285191;1646666977359689
198;-1.225962;1646666977409693
