sample_ts,RadiusOfTurn,Lat_accel,IMUYawRate,Speed
1584853147475224.0,55.8889929218107,0.2805,0.032958984375,6.59226
1584853147675320.0,25.59532420091324,0.697,0.0712890625,6.54534
1584853147874961.0,14.277957957957957,1.1645,0.12646484375,6.45541
1584853148075218.0,9.780578196231081,1.853,0.18139648438,6.31856
1584853148275335.0,6.902203390699947,1.9465,0.25122070312,6.16607
1584853148474918.0,5.893881896043129,1.853,0.28784179688,6.04877
1584853148675224.0,5.281764240613525,1.7765,0.31420898438,5.90019
1584853148875336.0,5.024149537737436,2.057,0.32275390625,5.77507
1584853149074948.0,4.579185677201096,2.516,0.34545898438,5.61476
1584853149275220.0,4.223030474506337,2.6435,0.3681640625,5.57957
1584853149475327.0,3.8657201878419087,2.448,0.39868164062,5.51701
1584853149674930.0,3.791239571929551,2.346,0.40307617188,5.48573
1584853149875252.0,3.618919709573102,2.244,0.42211914062,5.5131
1584853150075366.0,3.673045067497404,2.499,0.41796875,5.54047
1584853150274979.0,3.619679510703364,2.533,0.42578125,5.55611
1584853150475248.0,3.5928013116408124,2.499,0.43017578125,5.57175
1584853150675355.0,3.5795091091091096,2.499,0.43359375,5.60303
1584853150874952.0,3.592033633633634,2.7965,0.43359375,5.61085
1584853151075258.0,3.6427301731765893,2.669,0.42919921875,5.64604
1584853151275349.0,3.6010411987400524,2.89,0.43627929688,5.66559
1584853151475009.0,3.6253377702581027,2.6435,0.43530273438,5.69687
1584853151675267.0,3.637813123906617,2.7965,0.43530273438,5.70469
1584853151875371.0,3.609308262108262,2.7965,0.43798828125,5.67732
1584853152074961.0,3.4774291703719094,2.533,0.45288085938,5.66168
1584853152275273.0,3.544649524195511,2.822,0.44750976562,5.75943
1584853152475377.0,3.521397740682023,3.009,0.45385742188,5.7477
1584853152675001.0,3.5452174499879483,2.737,0.4501953125,5.74379
1584853152875283.0,3.528864828738513,2.703,0.45458984375,5.80635
1584853153075405.0,3.795466462324393,2.737,0.4248046875,5.80244
1584853153274991.0,4.268009112344245,1.9465,0.37866210938,5.83372
1584853153475276.0,5.232033185101145,1.4025,0.31127929688,5.89237
1584853153675390.0,6.397670264550264,1.462,0.25634765625,5.91583
1584853153875008.0,6.58626254755707,1.4705,0.25024414062,5.95102
1584853154075294.0,7.139010619883042,1.224,0.23193359375,5.97057
1584853154275385.0,9.325182905982906,1.0795,0.177734375,5.96275
1584853154474977.0,15.698325414331157,0.1615,0.10620117188,6.04095
1584853154675293.0,44.316006837606835,-0.4675,0.0380859375,6.11133
1584853157675328.0,341.1737735449736,0.0935,0.005126953125,6.29901
1584853157915295.0,170.5868867724868,0.459,0.01025390625,6.2951
1584853158115583.0,135.05615429769392,0.2125,0.012939453125,6.28728
1584853158315242.0,80.37671310861423,0.3315,0.021728515625,6.28728
1584853158515341.0,69.4301272923409,0.4165,0.025146484375,6.28337
1584853158715599.0,54.59010008481765,0.3315,0.031982421875,6.28728
1584853158915295.0,61.31236467236467,0.3145,0.028564453125,6.32247
1584853159115315.0,53.2032895473251,0.2465,0.032958984375,6.30292
1584853159315588.0,56.11284444444444,0.8925,0.03125,6.32247
1584853159515270.0,49.54523470319634,0.0765,0.03564453125,6.39285
1584853159715358.0,63.32523736479842,0.0255,0.027587890625,6.18562
1584853159915583.0,71.15690953984289,0.0085,0.024169921875,6.19735
1584853160115322.0,55.678399999999996,0.0255,0.03125,6.33029
1584853160315333.0,55.065534860050896,0.4165,0.031982421875,6.34984
