sample_ts,RadiusOfTurn,Lat_accel,IMUYawRate,Speed
1584855531240472.0,69.83223286384975,0.6205,0.017333984375,4.4574
1584855531440706.0,62.98723902439024,0.5695,0.02001953125,4.62162
1584855531640310.0,39.74181925925926,0.3145,0.032958984375,4.8093
1584855531840489.0,47.68105754985755,0.153,0.028564453125,4.99698
1584855532040708.0,33.18636219667943,0.5525,0.04248046875,5.15338
1584855532240304.0,33.2278731585518,0.5525,0.04345703125,5.24331
1584855532440496.0,29.174518518518518,0.4335,0.050537109375,5.37234
1584855532640717.0,23.431563636363634,0.7905,0.064453125,5.50137
1584855532870996.0,20.878109570957093,0.6545,0.073974609375,5.61867
1584855533090733.0,17.68484884004884,0.9265,0.0888671875,5.69687
1584855533290391.0,14.074801532567047,1.241,0.11328125,5.78289
1584855533490781.0,11.377846200840015,1.1815,0.14208984375,5.85718
1584855533690738.0,9.561218428465219,1.2495,0.17016601562,5.85718
1584855533890415.0,8.55587601411082,1.513,0.18920898438,5.79853
1584855534090792.0,7.600735688684077,1.7765,0.2119140625,5.79853
1584855534290751.0,6.619088372230089,1.751,0.24145507812,5.7086
1584855534490486.0,6.206015979424322,1.904,0.25463867188,5.6695
1584855534690798.0,6.2342482238580175,1.819,0.25122070312,5.60694
1584855534890759.0,6.067393629368452,1.598,0.25463867188,5.51701
1584855535090452.0,6.0526681785029295,1.6405,0.25122070312,5.43099
1584855535290821.0,6.357277328862611,1.513,0.23559570312,5.35279
1584855535490779.0,6.145177011494252,1.6235,0.24072265625,5.29805
1584855535690443.0,6.176722865013774,1.394,0.236328125,5.21203
1584855535890813.0,6.232928226950356,1.53,0.2294921875,5.08691
1584855536090783.0,6.300718307804522,1.513,0.22314453125,5.03608
1584855536290457.0,6.158280397217449,1.377,0.22680664062,5.02044
1584855536490838.0,6.160674751959758,1.445,0.22680664062,5.03999
1584855536690792.0,6.010889541113441,1.4875,0.23291015625,5.03999
1584855536890523.0,5.951591756027288,1.7,0.23559570312,5.05563
1584855537090848.0,5.50863892606633,1.666,0.25463867188,5.0439
1584855537290797.0,5.067457902973396,1.7,0.27734375,5.07518
1584855537490515.0,5.004319370106828,1.751,0.28247070312,5.10255
1584855537690853.0,4.924145886258824,1.445,0.28784179688,5.10255
1584855537890808.0,5.165863832393679,1.7255,0.27563476562,5.14947
1584855538090507.0,5.025748554033485,0.9435,0.28515625,5.16902
1584855538290876.0,5.209208227631153,1.3175,0.27563476562,5.16902
1584855538490829.0,5.232964357608052,1.615,0.27490234375,5.18857
1584855538690507.0,5.333648244726162,1.139,0.27124023438,5.22767
1584855538890891.0,5.47327525476173,1.0455,0.26342773438,5.15338
1584855539090840.0,5.734186806925269,1.156,0.24755859375,5.06736
1584855539290521.0,5.857393893873608,1.5555,0.23901367188,5.01262
1584855539490897.0,5.795506513409961,1.394,0.24072265625,5.03217
1584855539690848.0,5.280533825692693,1.5555,0.26440429688,5.02044
1584855539890556.0,4.866851769279643,1.462,0.28442382812,4.94615
1584855540090890.0,4.917805973389653,2.312,0.28247070312,5.05563
1584855540290862.0,4.874452014240209,1.071,0.28955078125,5.10646
1584855540490545.0,4.874651536558061,1.7765,0.28686523438,4.96179
1584855540690909.0,4.721194666666666,1.598,0.29296875,4.99698
1584855540890868.0,4.8147913488246035,1.5555,0.29223632812,5.13383
1584855541090562.0,4.715347456791889,1.921,0.30346679688,5.16902
1584855541300661.0,4.673447114015858,1.547,0.30688476562,5.15729
1584855541500909.0,4.640982923680978,1.904,0.30786132812,5.12992
1584855541700602.0,4.515803042092666,1.887,0.31567382812,5.13383
1584855541900661.0,4.381963757673391,1.921,0.32543945312,5.13383
1584855542100911.0,4.440298268616574,1.7255,0.32275390625,5.18466
1584855542300529.0,4.339849298011518,1.989,0.33422851562,5.25895
1584855542500699.0,4.4405212894779895,2.2525,0.33154296875,5.34106
1584855542700911.0,4.276051344211344,2.142,0.34912109375,5.40753
1584855542900587.0,4.308436436375289,2.21,0.35229492188,5.52092
1584855543160892.0,4.3764618290097,2.278,0.35327148438,5.61085
1584855543360983.0,4.739626091997192,2.0995,0.33227539062,5.72815
1584855543560504.0,5.0509981538461535,1.7935,0.3173828125,5.81417
1584855543760902.0,5.325295674484273,2.159,0.30541992188,5.89628
1584855543960797.0,5.962291079812207,2.04,0.27734375,6.00967
1584855544160532.0,5.9810877720007705,2.091,0.28173828125,6.12306
1584855544360687.0,6.163971205007824,1.904,0.27734375,6.18562
1584855544560809.0,7.0360920539293454,1.547,0.24682617188,6.31856
1584855544760566.0,7.9654981745108175,1.3345,0.22143554688,6.38112
1584855544960682.0,9.750191242180518,1.615,0.18212890625,6.40458
1584855545160854.0,11.414456140350877,0.8075,0.15771484375,6.55707
1584855545360565.0,14.622757630782536,0.7735,0.12548828125,6.65482
1584855545560697.0,18.401975308641976,0.85,0.10107421875,6.73693
1584855545760822.0,29.660925811965814,0.3995,0.0634765625,6.81904
1584855545960561.0,45.69684834307992,0.765,0.041748046875,6.91679
1584855546160700.0,56.87309096722621,0.4335,0.033935546875,6.97935
1584855546360856.0,74.87970758047767,0.5185,0.026123046875,7.10447
1584855546560561.0,79.04020711974111,0.2295,0.025146484375,7.20613
1584855546760725.0,80.20637411003239,0.1105,0.025146484375,7.31561
1584855546960811.0,63.89503782866836,0.697,0.031982421875,7.39772
1584855547160624.0,64.69308905852418,0.3825,0.031982421875,7.49938
1584855547360738.0,68.75927893333333,0.3485,0.030517578125,7.60886
1584855547560841.0,84.61189385113269,0.3145,0.025146484375,7.71052
1584855547760619.0,88.70460336700334,0.2805,0.024169921875,7.72616
1584855547960741.0,119.0931987987988,0.3145,0.01806640625,7.76526
1584855548160819.0,113.78434188034188,0.3995,0.01904296875,7.83564
